Question Report,,,,,
1044,That website doesnt work either.,Carolyn Hassett,'-,That website doesnt work either.,Carolyn Hassett
1044,That website doesnt work either.,Carolyn Hassett,'-,I'm not sure what you mean. Please repost the link you are looking for.,Carl Mullin
1045,Are the Learner Kit and PMP Test Prep available in GitHub as well as I am not a Precipio user? Thank you.,DeShelia Hall,'-,"No. For non-Percipio users try locating the TestPrep exam by searching your training site using the following title or ID.

Title: TestPrep: Project Management Professional (PMP) 2021 Update Aligned
ID: pm_pmp21_a01_tp_enus

The PMP Learner Kit is not available through your learning portal. For more information check with your training staff or HR Department to see if they will provide you with an access key to get access to the PMP Learner Kit.
 
If you have an individual subscription to Percipio and your training is not part of an organization OR you don’t have a subscription to Percipio and your training staff or HR Department is not able to provide you with an access key to the PMP Learner Kit, you may need to purchase your own. You can start the purchase of the PMP Learner Kit from the following web site by clicking on the Buy button. You will be redirected to another page to make the purchase.
 
https://www.skillsoft.com/pmp-voucher-offering",Carl Mullin
1046,no,William Deshong,'-,no,William Deshong
1047,yes,Navdeep Ahuja,'-,,
1048,yes,Anthony,'-,,
1049,yes,Cristina Castillo,'-,,
1050,yes,Jose Girot,'-,yes,Jose Girot
1051,yes,Yessica Deaton,'-,,
1052,yes,Talia Gad,'-,yes,Talia Gad
1053,Yes,Tim Dioquino,'-,,
1054,yes,Chaun Aisha Frost (DHS),'-,yes,Chaun Aisha Frost (DHS)
1055,yes,DeAnjelo Bradley,'-,,
1056,"each house, has a start and end.",Cristina Castillo,'-,,
1057,no,Roy Johnson,'-,no,Roy Johnson
1058,Yes,Jeffrey Pace,'-,Yes,Jeffrey Pace
1059,yes,Benson Oriedo,'-,yes,Benson Oriedo
1060,"What about clients operating plants for indefinite period of time, will that be a project?",Raqib Ali Shah,'-,"What about clients operating plants for indefinite period of time, will that be a project?",Raqib Ali Shah
1061,"Locate, Laws, License, County",Jeffrey Pace,'-,"Locate, Laws, License, County",Jeffrey Pace
1062,and value provides to each home owner,Cristina Castillo,'-,,
1063,no,Lovedeep Singh RAMANA,'-,no,Lovedeep Singh RAMANA
1064,No,TAHIYA ISMAT,'-,No,TAHIYA ISMAT
1065,No,d-desmond.cameron,'-,,
1066,yes,Navdeep Ahuja,'-,,
1067,yes,Yessica Deaton,'-,,
1068,Operations,d-desmond.cameron,'-,,
1069,No,Shanina Guyton,'-,No,Shanina Guyton
1070,.,John NYA,'-,.,John NYA
1071,no,Robert Whitman,'-,no,Robert Whitman
1072,no,Dwight Saunders,'-,no,Dwight Saunders
1073,No,Tim Dioquino,'-,,
1074,No,Ankit Dave,'-,,
1075,Let's say it is a production center where you are dealing with the same part from the same outside company? or the same part with multiple outside companies. ,Devon Showell,'-,Let's say it is a production center where you are dealing with the same part from the same outside company? or the same part with multiple outside companies. ,Devon Showell
1076,"Updates to a website, would that not be a project however, when there are updates which include new requirements (like the addition of a new page)?",Eric Curavo,'-,"here is how PMI defines a project that should help to clarify, as per Carl's comment in chat:

A temporary endeavor undertaken to create a unique product, service, or result.",Eian Clair
1077,"Hi,",Shelly Mimms,'-,"Hi,",Shelly Mimms
1078,"Hi Eian, is attendance auto captured, in the provided link do not see anything with today's date",Amit Singh,'-,"Hi Eian, is attendance auto captured, in the provided link do not see anything with today's date",Amit Singh
1078,"Hi Eian, is attendance auto captured, in the provided link do not see anything with today's date",Amit Singh,'-,attendance is auto captured if joining via Percipio.,Eian Clair
1079,so would website 2.5 be a new project?,COZETTEE ROUSELL BARRON,'-,so would website 2.5 be a new project?,COZETTEE ROUSELL BARRON
1080,I did not see a student workbook.  I just saw a question about it so I am asking the same.,Shelly Mimms,'-,I did not see a student workbook.  I just saw a question about it so I am asking the same.,Shelly Mimms
1080,I did not see a student workbook.  I just saw a question about it so I am asking the same.,Shelly Mimms,'-,It is part of the PMP Learner Kit.,Carl Mullin
1081,"I started the bootcamp session without proper credentials (name, surname). It is fixed now. Do I need to fill in the tracker? ",piotr.jablonski1@kyndryl.com,'-,"I started the bootcamp session without proper credentials (name, surname). It is fixed now. Do I need to fill in the tracker? ",piotr.jablonski1@kyndryl.com
1081,"I started the bootcamp session without proper credentials (name, surname). It is fixed now. Do I need to fill in the tracker? ",piotr.jablonski1@kyndryl.com,'-,"Yes. The attendance tracker is the guaranteed method of obtaining your certificate of completion, should Percipio fail to generate it on your behalf.",Eian Clair
1082,"Many may be thinking of GOV contracting each contract still has a Start and end date over a number of years or months, years will likely include option years for the GOV to re-evaluate",Charles Hill,'-,"Many may be thinking of GOV contracting each contract still has a Start and end date over a number of years or months, years will likely include option years for the GOV to re-evaluate",Charles Hill
1083,"To clarify, say revamping of a site would be a project, but once its been revamped the daily updates and changes would be more operational?",Kriti Nitin Singhvi,'-,"To clarify, say revamping of a site would be a project, but once its been revamped the daily updates and changes would be more operational?",Kriti Nitin Singhvi
1083,"To clarify, say revamping of a site would be a project, but once its been revamped the daily updates and changes would be more operational?",Kriti Nitin Singhvi,'-,live answered,Orlando Sequera
1084,"HI, I joined 1 hour late, will my attendance be recorded?",Rajas Athale,'-,"HI, I joined 1 hour late, will my attendance be recorded?",Rajas Athale
1084,"HI, I joined 1 hour late, will my attendance be recorded?",Rajas Athale,'-,"You will need to fill out the attendance tracker and use this to keep track of your attendance for each session. Then you can submit the tracker at the end of the cohort to receive your completion certificate. 
For your reference, you may find a video titled, 'PMP Bootcamp Attendance and Certificates of Completion' with step-by-step instructions in the Bootcamp channel under the 'Watch' tab. There is also a PDF version of the video available in the 'Resources' tab of the channel. 

To locate the Bootcamp resources in Percipio, please follow these steps:
1. Log into Percipio
2. Select Library > Showcase > Skillsoft Bootcamps > Project Management Bootcamps
3. Select the Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort channel",Eian Clair
1085,"can you view each updgrade as a ""mini project"" - upgrade from 1.0 to 2.0 version?",Cristina Castillo,'-,"Yes, as long as it has a beginning and an end.",Orlando Sequera
1086,"With your website example, would it be a project if developing a unique version and not routine updates?",William Harper,'-,"With your website example, would it be a project if developing a unique version and not routine updates?",William Harper
1087,thank you!,Jessica Sibomana,'-,thank you!,Jessica Sibomana
1088,is there an industry-common difference between a project and a program?,Luqman Salaam,'-,is there an industry-common difference between a project and a program?,Luqman Salaam
1088,is there an industry-common difference between a project and a program?,Luqman Salaam,'-,A program is a collection of multiple projects.,Orlando Sequera
1089,"thanks, though my Percipio credentials are registered by company email  id, how would one can register exam with personal email id and trainings that we completed",Amit Singh,'-,"thanks, though my Percipio credentials are registered by company email  id, how would one can register exam with personal email id and trainings that we completed",Amit Singh
1089,"thanks, though my Percipio credentials are registered by company email  id, how would one can register exam with personal email id and trainings that we completed",Amit Singh,'-,Your PMI account doesn't have to use the same email address.,Carl Mullin
1090,I got disconnected 5 times on Percipio and now I have joined on Zoom. Is it going to affect my attendance to get the certificate?,Raqib Ali Shah,'-,I got disconnected 5 times on Percipio and now I have joined on Zoom. Is it going to affect my attendance to get the certificate?,Raqib Ali Shah
1090,I got disconnected 5 times on Percipio and now I have joined on Zoom. Is it going to affect my attendance to get the certificate?,Raqib Ali Shah,'-,"It can yes. Please document each time you were disconnected and reconnected in your attendance tracker.

You can download the attendance tracker file ""PMP Bootcamp 5-Day and 8-Day Attendance Tracker and Certificate Request Process.docx"" from the following location by clicking the file and choosing Download.

https://github.com/Skillsoft-Content/PMP5Day/tree/main/5-Day%20Attendance%20and%20Certificates%20of%20Completion%20Info",Carl Mullin
1091,Is specific terminology Waterfall Vs linear important for the test?,Ryan Christmas,'-,Yes. We will be going over it throught the class.,Orlando Sequera
1092,"Hello, I am trying to locate the slides in github however unsuccessful, can you please assist me with this?",Nakia Young,'-,"You can access them from here.

https://github.com/Skillsoft-Content/PMP5Day/tree/main/Slide%20Decks",Carl Mullin
1093,Is it safe to say the adaptive model may not have an identified end due to continuous change?,Stefan Endicott,'-,Is it safe to say the adaptive model may not have an identified end due to continuous change?,Stefan Endicott
1093,Is it safe to say the adaptive model may not have an identified end due to continuous change?,Stefan Endicott,'-,No. Agile projects also have an end.,Orlando Sequera
1094,can you use your cursor on the display to show what you are referencing?,RICHARD SLAYSMAN,'-,can you use your cursor on the display to show what you are referencing?,RICHARD SLAYSMAN
1094,can you use your cursor on the display to show what you are referencing?,RICHARD SLAYSMAN,'-,live answered,Orlando Sequera
1095,In Agile - would the PM traditionally take the role of product owner or team lead?,Emanuel Moyano,'-,In Agile - would the PM traditionally take the role of product owner or team lead?,Emanuel Moyano
1095,In Agile - would the PM traditionally take the role of product owner or team lead?,Emanuel Moyano,'-,The role of the PM is closer to a scrum master / lead but there are some differences. A PM has exapanded responsibilities beyond the project team.,Orlando Sequera
1096,My session just expired and shut off...why?,Donna Worshoufsky,'-,My session just expired and shut off...why?,Donna Worshoufsky
1096,My session just expired and shut off...why?,Donna Worshoufsky,'-,"If you are having connectivity issues, black/blank screen, audio issues, and so on due to Percipo you want join Zoom directly, stayed logged with Zoom, and then log in to Percipio. You can be logged in to both at the same time.

Desktop client:

Webinar ID: 938 5686 0131
Passcode: 424428

Or you can use the Web link:
https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09
Passcode: 424428

Also, if you are a Percipio user with this issue, please advise Customer Support https://support.skillsoft.com/bootcamps",Carl Mullin
1097,"how different are the various practice exams? I see there are 3 published, but i want to know if the older practice exams are still very relevant after the overhaul of 2021 revision",Charles Cornell,'-,"how different are the various practice exams? I see there are 3 published, but i want to know if the older practice exams are still very relevant after the overhaul of 2021 revision",Charles Cornell
1097,"how different are the various practice exams? I see there are 3 published, but i want to know if the older practice exams are still very relevant after the overhaul of 2021 revision",Charles Cornell,'-,Take the Skillsoft one.,Carl Mullin
1098,"Are team lead, scrum master, agile coach, and facilitator  the same thing but just name varies?",DOBBS# Jennifer Christine Fajardo,'-,"team lead Scrum master and team lead are the same. In this sense, it is similar, yes. We will expand on the roles.",Orlando Sequera
1099,cab everyone only see Orlando speaking or is there some course material on the screen as well? or slides ,poojas,'-,cab everyone only see Orlando speaking or is there some course material on the screen as well? or slides ,poojas
1100,What Characteristic of Predative and Adaptive make the project Hybrid? ,Nivedita Sinha,'-,What Characteristic of Predative and Adaptive make the project Hybrid? ,Nivedita Sinha
1100,What Characteristic of Predative and Adaptive make the project Hybrid? ,Nivedita Sinha,'-,"As I mention before, the type of scope in your project. Hybrid is a combination of predictive and adaptive",Orlando Sequera
1101,OPA's!,Cristina Castillo,'-,,
1102,*Can,poojas,'-,*Can,poojas
1102,*Can,poojas,'-,"If you are having connectivity issues, black/blank screen, audio issues, and so on due to Percipo you want join Zoom directly, stayed logged with Zoom, and then log in to Percipio. You can be logged in to both at the same time.

Desktop client:

Webinar ID: 938 5686 0131
Passcode: 424428

Or you can use the Web link:
https://skillsoftbootcamp.zoom.us/j/93856860131?pwd=L0JON2ZXZHU0dEh2eENreWVLb3FKdz09
Passcode: 424428

Also, if you are a Percipio user with this issue, please advise Customer Support https://support.skillsoft.com/bootcamps",Carl Mullin
1103,"It seems that the bulk of this is focused on improving the output through management of resources, but not always on process improvement.  There is room for process improvement, but it is not the main objective.  Am I correct in this assumption?",Nathan Hanna,'-,"It seems that the bulk of this is focused on improving the output through management of resources, but not always on process improvement.  There is room for process improvement, but it is not the main objective.  Am I correct in this assumption?",Nathan Hanna
1103,"It seems that the bulk of this is focused on improving the output through management of resources, but not always on process improvement.  There is room for process improvement, but it is not the main objective.  Am I correct in this assumption?",Nathan Hanna,'-,"It is a good assumption, but it depends on the project. In some specific projects the goal might be process improvement; therefore, the key aspect is to udnerstand the scope of the project. More to come in the class! :-)",Orlando Sequera
1104,"Hello, My internet was disconnected due to contractors working outside. I have chekced into a hotel to get internet service. Should I continue or withdraw til May when I can take days off? ",John Nystrom,'-,"Hello, My internet was disconnected due to contractors working outside. I have chekced into a hotel to get internet service. Should I continue or withdraw til May when I can take days off? ",John Nystrom
1104,"Hello, My internet was disconnected due to contractors working outside. I have chekced into a hotel to get internet service. Should I continue or withdraw til May when I can take days off? ",John Nystrom,'-,"It's up to you. Here are the attendance requirements for the 5-Day Bootcamp  – If you are unable to attend all the live sessions for whatever reason, you must attend at least 4 of the 5 live sessions and make up the missed session by watching the recording. A session is considered to be a missed session if you miss more than 15 mins (being logged out) of a session. If you miss more than 1 session, you would have to make up any additional sessions beyond the one by attending live in the next run for the 5-Day Bootcamp. You can't mix sessions between the 5-Day and 8-Day Bootcamp to get the 35 hours.",Carl Mullin
1105,Thank you I was confused on how the session was explained earlier but that makes sense.  ,Nicholas King,'-,Thank you I was confused on how the session was explained earlier but that makes sense.  ,Nicholas King
1106,Agile = Fluid,Roy Garcia,'-,,
1107,can you share the slides?,David He,'-,can you share the slides?,David He
1107,can you share the slides?,David He,'-,"You can access them from here.

https://github.com/Skillsoft-Content/PMP5Day/tree/main/Slide%20Decks",Carl Mullin
1108,Would the PMO be similar to the PEOs in the Navy at NAVSEA?,Brian Vazquez# PMP,'-,I recommend checking with project managers within the Navy that are familiar with PEOs.,Carl Mullin
1109,"When taking a practice test, if the answer is incorrect, will it explain why is incorrect? ",Delia Contreras,'-,"When taking a practice test, if the answer is incorrect, will it explain why is incorrect? ",Delia Contreras
1109,"When taking a practice test, if the answer is incorrect, will it explain why is incorrect? ",Delia Contreras,'-,"If you are taking the TestPrep exam, take it in Learn or Study Mode so you can see the answer and explanation.",Carl Mullin
1110,"The slides shown by you are not part of the slides deck, where can we find the full content?",Raqib Ali Shah,'-,"The slides shown by you are not part of the slides deck, where can we find the full content?",Raqib Ali Shah
1110,"The slides shown by you are not part of the slides deck, where can we find the full content?",Raqib Ali Shah,'-,"You can access them from here.

https://github.com/Skillsoft-Content/PMP5Day/tree/main/Slide%20Decks",Carl Mullin
1111,Is there a longer break for lunch? When will that be?,Christina Ngo,'-,Yes. 1:30 PM EDT,Carl Mullin
1112,what is the passing grade?,Charles Cornell,'-,what is the passing grade?,Charles Cornell
1112,what is the passing grade?,Charles Cornell,'-,PMI does not advertise how the exam is scored as a passing grade.,Carl Mullin
1113,Will you be able to go over where the course resources can be found again? ,Melanie Tye,'-,Will you be able to go over where the course resources can be found again? ,Melanie Tye
1113,Will you be able to go over where the course resources can be found again? ,Melanie Tye,'-,"The Bootcamp resources have been uploaded to the Bootcamp Channel in Percipio. Please visit the Bootcamp Channel in Percipio and select the Resources drop-down to locate the course files. 
 
To locate the Bootcamp resources in Percipio, please follow these steps:
1. Log into Percipio
2. Select Library > Showcase > Skillsoft Bootcamps > Project Management Bootcamps
3. Select the Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort channel
4. On the Channel page, select 'Resources'
 
You may also download the course resources online at GitHub using the below URL. Once on the GitHub page, download the course files by selecting the ‘Code’ button and then ‘Download ZIP’. 
https://github.com/Skillsoft-Content/PMP5Day",Eian Clair
1114,Construction project delivered in increments but not ready for end-users falls under which PM approach?,Lovedeep Singh RAMANA,'-,Construction project delivered in increments but not ready for end-users falls under which PM approach?,Lovedeep Singh RAMANA
1114,Construction project delivered in increments but not ready for end-users falls under which PM approach?,Lovedeep Singh RAMANA,'-,live answered,Orlando Sequera
1115,What is the passing grade for the test?,Chauncey Dixon,'-,What is the passing grade for the test?,Chauncey Dixon
1115,What is the passing grade for the test?,Chauncey Dixon,'-,PMI does not advertise the pass score.,Carl Mullin
1116,"Is it safe to assume that among these three types/descriptions of PMO, directive would be middle in the ‘spectrum’ of the three?",DOBBS# Jennifer Christine Fajardo,'-,Yes.,Orlando Sequera
1117,3.5 hour mark for lunch,Sandra Owen,'-,3.5 hour mark for lunch,Sandra Owen
1117,3.5 hour mark for lunch,Sandra Owen,'-,live answered,Orlando Sequera
1118,Can you re-take the exam?,Todd Johnson,'-,Can you re-take the exam?,Todd Johnson
1118,Can you re-take the exam?,Todd Johnson,'-,"Yes, you have 3 chances within your 1 year eligibility perdio to pass the exam.",Carl Mullin
1119,"If you sit for the exam for your first time on day 364 of your application, and you fail, do you have to reapply?",Halei Wright,'-,"If you sit for the exam for your first time on day 364 of your application, and you fail, do you have to reapply?",Halei Wright
1119,"If you sit for the exam for your first time on day 364 of your application, and you fail, do you have to reapply?",Halei Wright,'-,You will have to pay a retake fee and contact PMI directly to address that specific scenario. It is not a good approach to wait almost a year after your application gets approved.,Orlando Sequera
1120,70% = Passing,Joseph Belote,'-,70% = Passing,Joseph Belote
1121,where can I find attendance tracker excel ,Muhammad Nadim Chaudhry,'-,where can I find attendance tracker excel ,Muhammad Nadim Chaudhry
1121,where can I find attendance tracker excel ,Muhammad Nadim Chaudhry,'-,"The Bootcamp resources have been uploaded to the Bootcamp Channel in Percipio. Please visit the Bootcamp Channel in Percipio and select the Resources drop-down to locate the course files. 
 
To locate the Bootcamp resources in Percipio, please follow these steps:
1. Log into Percipio
2. Select Library > Showcase > Skillsoft Bootcamps > Project Management Bootcamps
3. Select the Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort channel
4. On the Channel page, select 'Resources'
 
You may also download the course resources online at GitHub using the below URL. Once on the GitHub page, download the course files by selecting the ‘Code’ button and then ‘Download ZIP’. 
https://github.com/Skillsoft-Content/PMP5Day",Eian Clair
1122,"Also, are the session recordings through percipio?  I am not sure if i will in fact miss yet but just want to be prepared in case I do.",Nicholas King,'-,"Also, are the session recordings through percipio?  I am not sure if i will in fact miss yet but just want to be prepared in case I do.",Nicholas King
1122,"Also, are the session recordings through percipio?  I am not sure if i will in fact miss yet but just want to be prepared in case I do.",Nicholas King,'-,"No the session recording links are not provided through Percipio for this specific set of Bootcamps. Below is a link which can be used to access the session recordings for PMP ATP Bootcamp. Once on the GitHub page, download the excel by selecting the ‘Code’ button and then ‘Download ZIP’. 

In .zip folder you will find an Excel document which contains several worksheets, one for each Bootcamp cohort. The links and password to the recordings will be available in the worksheet. 

Links are updated on a daily basis, so revisit the link to download the updated Excel.
 
https://github.com/Skillsoft-Content/PMPReplay 

Password: pmpB00tcampReplay!",Eian Clair
1123,Repeat unanswered question: Does 4yr degree have to be in Project Management?,Caren Tong,'-,"No, any 4-year degree should do.",Eian Clair
1124,Can you give me the author of the Agile book you recommended? And where to get it?,Simone Rogers,'-,Can you give me the author of the Agile book you recommended? And where to get it?,Simone Rogers
1124,Can you give me the author of the Agile book you recommended? And where to get it?,Simone Rogers,'-,"Agile Practice Guide
by  Project Management Institute

If you have access to books, check Percipio.",Carl Mullin
1125,Can you report 2 different projects that occured simultaneously or is it 1 project at a time?,Joseph Santos,'-,"Please check PDF page 16 here on overlapping projects.

https://www.pmi.org/-/media/pmi/documents/public/pdf/certifications/pmp-examination-content-outline.pdf",Carl Mullin
1126,"After I fail the first time, do I have to pay to take the test again?",Alex Sanchez,'-,"After I fail the first time, do I have to pay to take the test again?",Alex Sanchez
1126,"After I fail the first time, do I have to pay to take the test again?",Alex Sanchez,'-,Yes,Carl Mullin
1127,How many opportunities we have to take the exam?,Carlos Enrique Suarez Aponte,'-,How many opportunities we have to take the exam?,Carlos Enrique Suarez Aponte
1127,How many opportunities we have to take the exam?,Carlos Enrique Suarez Aponte,'-,3 within your one year eligibility period.,Carl Mullin
1128,"If you pay and register for the exam, and do not pass.  Do you have to pay again to retake the exam?",Fatema Alharbi,'-,"Yes. As per the PMI Website:

If you fail the exam on your first attempt, you can re-take it two more times within your one-year eligibility period. Fees are associated with re-examination. Details for re-examination can be found in the certification handbook.

Certification Handbook can be downloaded from the PMI website:
https://www.pmi.org/certifications/project-management-pmp",Eian Clair
1129,Any Practice Exam recommendation? Do you recommend to use different versions?,Lucas.Wells@kyndryl.com,'-,Any Practice Exam recommendation? Do you recommend to use different versions?,Lucas.Wells@kyndryl.com
1129,Any Practice Exam recommendation? Do you recommend to use different versions?,Lucas.Wells@kyndryl.com,'-,"Visit the 'Practice' tab of the Bootcamp channel in Percipio and select 'PMP7ED : Project Management Professional (PMP), Seventh Edition | Practice Test' for the most up-to-date TestPrep. Alternatively, try searching hte TestPrep name via Percipio Search.",Eian Clair
1130,Do we need to track our attendance even if we are logged from Percipio and we see the status ''started'' in the activity section?,Virginie Morin,'-,Do we need to track our attendance even if we are logged from Percipio and we see the status ''started'' in the activity section?,Virginie Morin
1130,Do we need to track our attendance even if we are logged from Percipio and we see the status ''started'' in the activity section?,Virginie Morin,'-,live answered,Orlando Sequera
1131,Do I get a discount  for the 2nd exam if I don't pass the first time?,JOE H PHAM,'-,Do I get a discount  for the 2nd exam if I don't pass the first time?,JOE H PHAM
1131,Do I get a discount  for the 2nd exam if I don't pass the first time?,JOE H PHAM,'-,The exam fee is less for the 2nd and 3rd attempt,Carl Mullin
1132,Whats the registration cost of the exam ? ,VIJAYALAKSHMI Sathyanarayanan,'-,Whats the registration cost of the exam ? ,VIJAYALAKSHMI Sathyanarayanan
1132,Whats the registration cost of the exam ? ,VIJAYALAKSHMI Sathyanarayanan,'-,"The exam is $555.00 for non members, $405.00 for PMI members. Please review the web page for the PMP exam for more information and make sure to download the certification handbook (scroll down) for a deeper dive into all of the exam specifics. 

https://www.pmi.org/certifications/project-management-pmp",Eian Clair
1133,On PMI - it says we have to pay for practice exams - are there free exams available?,Amy Sullivan,'-,On PMI - it says we have to pay for practice exams - are there free exams available?,Amy Sullivan
1133,On PMI - it says we have to pay for practice exams - are there free exams available?,Amy Sullivan,'-,"The practice exams should be available in your training site. If you are a Percipio user, please follow these steps.

Step 1. Open a new browser tab and log into Percipio (link provided by your company)
Step 2. Select Library > Showcase > Skillsoft Bootcamps
Step 3. Choose Project Management Bootcamps
Step 4. Select the Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort channel
Step 5. Select the Practice tab and access the Skillsoft TestPrep: Project Management Professional (PMP) 2021 Update Aligned. Might be necessary to allow Pop Up Windows in order to use the Test Prep

For non-Percipio users try locating the TestPrep exam by searching your training site using the following title or ID.

Title: TestPrep: Project Management Professional (PMP) 2021 Update Aligned
ID: pm_pmp21_a01_tp_enus",Carl Mullin
1134,"Let's say it is a production center where you are dealing with the same part from the same outside company? or the same part with multiple outside companies. This is at different times.. that the part has failed with the company is this called a project?
",Devon Showell,'-,"Let's say it is a production center where you are dealing with the same part from the same outside company? or the same part with multiple outside companies. This is at different times.. that the part has failed with the company is this called a project?
",Devon Showell
1135,Ok so the exam is pass or fail.  Is that 51% or 91 questions right?  What is the % or number of questions correct to receive a passing score?,Michael Fazio,'-,"No one other than PMI knows that. PMI does not share their evaluation criteria. The result that you will get is either Pass or Fail and also how well you performed in the domain areas: Target, Below Target or Above Target.",Orlando Sequera
1136,How is Agile different from the Operations example you gave on the website?,Stephen Dixon,'-,How is Agile different from the Operations example you gave on the website?,Stephen Dixon
1137,what about the enhancements is considered operational or Project,Vinjamury Kanaka Satya Prasad,'-,what about the enhancements is considered operational or Project,Vinjamury Kanaka Satya Prasad
1138,Where are these slides?,Charles Hill,'-,Where are these slides?,Charles Hill
1138,Where are these slides?,Charles Hill,'-,"The Bootcamp resources have been uploaded to the Bootcamp Channel in Percipio. Please visit the Bootcamp Channel in Percipio and select the Resources drop-down to locate the course files. 
 
To locate the Bootcamp resources in Percipio, please follow these steps:
1. Log into Percipio
2. Select Library > Showcase > Skillsoft Bootcamps > Project Management Bootcamps
3. Select the Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort channel
4. On the Channel page, select 'Resources'
 
You may also download the course resources online at GitHub using the below URL. Once on the GitHub page, download the course files by selecting the ‘Code’ button and then ‘Download ZIP’. 
https://github.com/Skillsoft-Content/PMP5Day",Eian Clair
1139,'@ Carle Mullin - you didn't answer my question about practice exams,Charles Cornell,'-,'@ Carle Mullin - you didn't answer my question about practice exams,Charles Cornell
1139,'@ Carle Mullin - you didn't answer my question about practice exams,Charles Cornell,'-,"If you are a Percipio user, please follow these steps.

Step 1. Open a new browser tab and log into Percipio (link provided by your company)
Step 2. Select Library > Showcase > Skillsoft Bootcamps
Step 3. Choose Project Management Bootcamps
Step 4. Select the Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort channel
Step 5. Select the Practice tab and access the Skillsoft TestPrep: Project Management Professional (PMP) 2021 Update Aligned. Might be necessary to allow Pop Up Windows in order to use the Test Prep

For non-Percipio users try locating the TestPrep exam by searching your training site using the following title or ID.

Title: TestPrep: Project Management Professional (PMP) 2021 Update Aligned
ID: pm_pmp21_a01_tp_enus

If this doesn't answer your question please repost it.",Carl Mullin
1140,how we should submit the attendance?,Sam Rostami,'-,how we should submit the attendance?,Sam Rostami
1140,how we should submit the attendance?,Sam Rostami,'-,"you only submit the tracker once, after all sessions have been completed and only if Percipio does not automatically generate your completion certificate. 

Percipio will not generate a certificate if you are absent for any session. 

If Percipio does not generate your certificate, that's where you would want to submit your attendance tracker and obtain your certificate. 

You can find a video + PDF walkthrough that discusses the certificate submission steps on the 'Resources' tab in Percipio or on GitHub. You're looking for the  PMP Bootcamp 5-day and 8-day Attendance Tracker and Certificate Request Process folder.


You may download the course resources online at GitHub using the below URL. Once on the GitHub page, download the course files by selecting the ‘Code’ button and then ‘Download ZIP’. 
https://github.com/Skillsoft-Content/PMP5Day",Eian Clair
1141,Your 4 year degree does not need to be in PM,Quatrell Nevels,'-,live answered,Orlando Sequera
1142,Thanks I had to switch to Zoom because of audio issues in the Percipio.,mattharper,'-,,
1143,Where or how do you submit the attendance tracker?,Rasaq Adebiyi,'-,"For your reference, you may find a video titled, 'PMP Bootcamp Attendance and Certificates of Completion' with step-by-step instructions in the Bootcamp channel under the 'Watch' tab. There is also a PDF version of the video available in the 'Resources' tab of the channel. 

To locate the Bootcamp resources in Percipio, please follow these steps:
1. Log into Percipio
2. Select Library > Showcase > Skillsoft Bootcamps > Project Management Bootcamps
3. Select the Project Management Professional (PMP) ATP Bootcamp: 5 Day Cohort channel

You may also download the course resources online at GitHub using the below URL. Once on the GitHub page, download the course files by selecting the ‘Code’ button and then ‘Download ZIP’. 
https://github.com/Skillsoft-Content/PMP5Day",Eian Clair
1144,So version updates for a system would be considered a project and maintaing the version is operational?,Latienda Williams,'-,Correct.,Orlando Sequera
1145,I tried to post the attendance tracker into the chat IOT help those that can't find it. Can you or one of the moderators put it in the chat?,Jason Zdunich,'-,I tried to post the attendance tracker into the chat IOT help those that can't find it. Can you or one of the moderators put it in the chat?,Jason Zdunich
1146,What is the method for submitting our attendance tracker?,IMRUL HACK,'-,"See pages 20 and 21 in the document itself. You can download the attendance tracker file ""PMP Bootcamp 5-Day and 8-Day Attendance Tracker and Certificate Request Process.docx"" from the following location by clicking the file and choosing Download.

https://github.com/Skillsoft-Content/PMP5Day/tree/main/5-Day%20Attendance%20and%20Certificates%20of%20Completion%20Info",Carl Mullin
1147,What is the process for having our learner kit funded if we are doing the PMP through Onward to Opportunity with the intent to take the PMP?,Jack Gonzalez,'-,What is the process for having our learner kit funded if we are doing the PMP through Onward to Opportunity with the intent to take the PMP?,Jack Gonzalez
1147,What is the process for having our learner kit funded if we are doing the PMP through Onward to Opportunity with the intent to take the PMP?,Jack Gonzalez,'-,Please check with your O2O advisor.,Carl Mullin
1148,"If a team is going to use a specific strategy for long term operational use but they need their staff trained on this strategy, is designing & executing that training considered a project?",SUMOHA MIN,'-,"It could be. It depends on the details and deliverables. Remember, a project can be any unique product, service, or result. For example the result could be the successful training of the staff.",Carl Mullin
1149,Are these Slides Available somewhere,Charles Hill,'-,Are these Slides Available somewhere,Charles Hill
1149,Are these Slides Available somewhere,Charles Hill,'-,"You can access them here.

https://github.com/Skillsoft-Content/PMP5Day/tree/main/Slide%20Decks",Carl Mullin
1150,Can you please put some more light on Agile term which you keep on referring? Thanks,Raqib Ali Shah,'-,Can you please put some more light on Agile term which you keep on referring? Thanks,Raqib Ali Shah
1150,Can you please put some more light on Agile term which you keep on referring? Thanks,Raqib Ali Shah,'-,live answered,Orlando Sequera
